# case	kind	field	operation	offset	value	expected_category
state-truncated	state	state_declaration	truncate	7	0	truncated
state-bad-magic	state	state_declaration	xor	0	1	bad_magic
state-version	state	state_declaration	set-u16	8	2	bad_magic
state-reserved	state	state_declaration	set-u16	10	1	reserved
state-trailing	state	state_declaration	append-zero	0	0	reserved
family-truncated	family	family	truncate	7	0	truncated
family-bad-magic	family	family	xor	0	1	bad_magic
family-version	family	family	set-u16	8	2	bad_magic
family-reserved	family	family	set-u16	10	1	reserved
family-unknown-mode	family	family	set-u16	44	99	unknown_enum
family-trailing	family	family	append-zero	0	0	reserved
schema-truncated	schema	schema	truncate	7	0	truncated
schema-bad-magic	schema	schema	xor	0	1	bad_magic
schema-version	schema	schema	set-u16	8	2	bad_magic
schema-reserved	schema	schema	set-u16	10	1	reserved
schema-unknown-kind	schema	schema	set-u8	12	9	unknown_enum
schema-full-depth	schema	schema	set-u8	13	1	reserved
schema-kind-reserved	schema	schema	set-u16	14	1	reserved
schema-trailing	schema	schema	append-zero	0	0	reserved
manifest-truncated	manifest	manifest	truncate	7	0	truncated
manifest-bad-magic	manifest	manifest	xor	0	1	bad_magic
manifest-version	manifest	manifest	set-u16	8	2	bad_magic
manifest-reserved	manifest	manifest	set-u16	10	1	reserved
manifest-trailing	manifest	manifest	append-zero	0	0	reserved
legacy-pack-magic	manifest	manifest	legacy-magic	0	0	bad_magic
legacy-record-magic	manifest	manifest	legacy-magic	0	1	bad_magic
legacy-commit-magic	manifest	manifest	legacy-magic	0	2	bad_magic
legacy-footer-magic	manifest	manifest	legacy-magic	0	3	bad_magic
legacy-lossless-magic	manifest	manifest	legacy-magic	0	4	bad_magic
legacy-q8-magic	manifest	manifest	legacy-magic	0	5	bad_magic
legacy-encrypted-magic	manifest	manifest	legacy-magic	0	6	bad_magic
